id,name,country,ico,ic_dph,dic,municipality,postal_code,property_registration_number,street_name,vat_payer,building_number,category,created_date,last_modified_date,created_by,last_modified_by,color,image,image_content_type
1,BILLA s.r.o.,Slovensko,31347037,SK2020312503,2020312503,Bratislava - mestská časť Ružinov,82102,,Bajkalská,b'\x01',19/A,Stravovanie/null,2023-09-28 22:57:45,2023-12-08 12:52:30,1,system,,,
2,Kaufland Slovenská republika v.o.s.,Slovensko,35790164,SK2020234216,2020234216,Bratislava - mestská časť Nové Mesto,83104,,Trnavská cesta,b'\x01',41/A,Stravovanie/Potraviny,2023-09-28 22:58:10,2023-11-26 08:19:12,1,system,,,
3,"Lidl Slovenská republika, s.r.o.",Slovensko,35793783,SK2020279415,2020279415,Bratislava - mestská časť Ružinov,82102,1E,Ružinovská,b'\x01',,Stravovanie/null,2023-09-29 10:08:43,2024-03-18 11:28:02,2,7,,,
4,"SLOVNAFT, a.s.",Slovensko,31322832,SK2020372640,2020372640,Bratislava - mestská časť Ružinov,82412,1,Vlčie hrdlo,b'\x01',,Auto-moto/null,2023-09-29 11:08:00,2023-12-07 06:24:32,2,7,,,
5,"Štatistické a evidenčné vydavateľstvo tlačív,a.s.ŠEVT a.s. /skrátená verzia obchodného mena/",Slovensko,31331131,SK2020295860,2020295860,Bratislava - mestská časť Ružinov,82109,6,Plynárenská,b'\x01',,Zábava a oddych/null,2023-11-24 21:17:45,2023-11-29 18:15:42,7,7,,,
6,Peek & Cloppenburg s.r.o.,Slovensko,35821272,SK2021596159,2021596159,Bratislava - mestská časť Nové Mesto,83103,1,Jarošova,b'\x01',,Oblečenie a obuv/null,2023-11-27 11:23:57,2023-11-27 11:24:03,1,1,,,
7,"BENU SK 43, s. r. o.",Slovensko,47470615,SK7020000350,2023904135,Bratislava - mestská časť Rača,83104,,Pribylinská,b'\x01',2/A,Zdravie a osobná starostlivosť/null,2023-11-27 19:26:50,2023-11-27 19:30:27,1,1,,,
8,Test,,123,,,,,,,,,,2023-12-01 01:04:17,2023-12-01 01:04:17,1,1,,,
9,"FINAL - CD plus, s.r.o.",Slovensko,47741686,SK2024080971,2024080971,Partizánske,95801,437,Škultétyho,b'\x01',18,Auto-moto/null,2023-12-01 08:24:02,2023-12-01 08:24:04,7,7,,,
10,"ALLTOYS, spol. s r.o.",Slovensko,31569323,SK2020466987,2020466987,Prievidza,97101,13A,Ciglianska cesta,b'\x01',,Zábava a oddych/null,2023-12-01 08:43:23,2024-11-04 07:49:24,7,7,,,
11,"ASIAN SKY, s.r.o.",Slovensko,35943947,SK2022107043,2022107043,Bratislava - mestská časť Ružinov,82104,16,Ivanská cesta,b'\x01',,Stravovanie/null,2023-12-01 08:44:17,2023-12-01 08:44:19,7,7,,,
12,1. DENTÁLNE CENTRUM s. r. o.,Slovensko,46206965,,2023286452,Bratislava - mestská časť Petržalka,85102,,Ambroseho,b'\x00',12,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:30,2023-12-01 08:44:34,7,7,,,
13,Dr.MAGNET s.r.o.,Slovensko,36553204,SK2021737322,2021737322,Komárno,94501,3862,Novozámocká cesta,b'\x01',2,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:38,2023-12-01 08:44:41,7,7,,,
14,"3S DENT, s. r. o.",Slovensko,44431198,,2022705586,Bratislava - mestská časť Staré Mesto,81109,7,Klemensova,b'\x00',,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:49,2023-12-01 08:44:53,7,7,,,
15,Patient Management Services s. r. o.,Slovensko,52967271,SK2121288488,2121288488,Bratislava - mestská časť Staré Mesto,81107,27,Radlinského,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-04 14:06:07,2023-12-04 14:06:09,7,7,,,
16,"dm drogerie markt, s.r.o.",Slovensko,31393781,SK2020354534,2020354534,Bratislava - mestská časť Rača,83106,18,Na pántoch,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-06 19:32:58,2023-12-06 19:33:03,7,7,,,
17,"Tesco Franchise Stores SR, s. r. o.",Slovensko,53044061,SK2121237085,2121237085,Trnava,91701,7310,Veterná,b'\x01',40,Stravovanie/null,2023-12-06 19:33:22,2024-01-12 08:06:30,7,7,,,
18,"DALITRANS, s.r.o.",Slovensko,36298883,SK2020174706,2020174706,Veľké Bierovce,91311,266,Veľké Bierovce,b'\x01',,Auto-moto/null,2023-12-06 19:33:34,2023-12-06 19:33:36,7,7,,,
19,EFLEK s. r. o.,Slovensko,47205083,SK2023803452,2023803452,Bratislava - mestská časť Dúbravka,84102,2626,Plachého,b'\x01',1,Zdravie a osobná starostlivosť/null,2023-12-06 19:35:52,2023-12-06 19:35:58,7,7,,,
20,EMKAR market s.r.o.,Slovensko,35795638,SK2020257448,2020257448,Bratislava - mestská časť Ružinov,82109,11,Dulovo nám.,b'\x01',,Stravovanie/null,2023-12-06 19:36:37,2023-12-07 06:28:52,7,7,,,
21,"SANSIL, s. r. o.",Slovensko,54602564,SK2121753667,2121753667,Bratislava - mestská časť Petržalka,85101,50,Rusovská cesta,b'\x00',,,2023-12-06 19:36:47,2023-12-06 19:36:47,7,7,,,
22,"COOP Jednota Nové Zámky, spotrebné družstvo",Slovensko,00168882,SK2020401262,2020401262,Nové Zámky,94049,6,Hlavné nám.,b'\x01',,Stravovanie/null,2023-12-06 19:39:39,2023-12-06 20:08:27,7,7,,,
23,"Inditex Slovakia, s. r. o.",Slovensko,36779644,SK2022395078,2022395078,Bratislava - mestská časť Petržalka,85101,18,Einsteinova,b'\x01',,Oblečenie a obuv/null,2023-12-06 19:41:31,2023-12-06 19:41:48,7,7,,,
24,"CCC Slovakia, s. r. o.",Slovensko,46509500,SK2023414492,2023414492,Bratislava - mestská časť Ružinov,82104,16,Ivanská cesta,b'\x01',,Oblečenie a obuv/null,2023-12-06 19:41:56,2023-12-07 15:24:52,7,7,,,
25,"Fertucha, s. r. o.",Slovensko,47812745,SK2024111177,2024111177,Bratislava - mestská časť Ružinov,82104,16649,Pri strelnici,b'\x01',3,Stravovanie/null,2023-12-06 19:42:14,2023-12-06 19:42:16,7,7,,,
26,"BENU SK 61, s.r.o.",Slovensko,50201638,SK7020000350,2120240265,Bratislava - mestská časť Rača,83104,2,Pribylinská,b'\x01',A,Zdravie a osobná starostlivosť/null,2023-12-06 19:44:18,2023-12-06 19:44:23,7,7,,,
27,"BAGPIPERS, s. r. o.",Slovensko,51286955,SK2120669969,2120669969,Bratislava - mestská časť Ružinov,82105,1569,Sinokvetná,b'\x01',21,Oblečenie a obuv/null,2023-12-06 19:44:31,2023-12-06 19:44:45,7,7,,,
28,Leder & Schuh SK spol. s r.o.,Slovensko,35832932,SK2020215912,2020215912,Bratislava - mestská časť Petržalka,85101,18,Einsteinova,b'\x01',,Oblečenie a obuv/null,2023-12-06 19:44:51,2023-12-06 19:48:04,7,7,,,
29,ForCamping,,24295825,,,,,,,,,,2023-12-06 19:46:52,2023-12-06 19:46:52,7,7,,,
30,ŠmakNinka s. r. o.,Slovensko,45670285,SK2023076539,2023076539,Borinka,90032,266,Borinka,b'\x01',,Stravovanie/null,2023-12-06 19:47:29,2023-12-06 19:47:31,7,7,,,
31,Pub Carla s.r.o.,Slovensko,53511794,SK2121404065,2121404065,Bratislava - mestská časť Petržalka,85104,,Ovsištské námestie,b'\x01',1,Stravovanie/null,2023-12-06 19:49:24,2023-12-06 19:49:31,7,7,,,
32,Pirex Slovakia s. r .o.,Slovensko,46640223,SK2023526494,2023526494,Bratislava - mestská časť Ružinov,82108,6,Metodova,b'\x01',,Zábava a oddych/null,2023-12-06 19:49:54,2023-12-06 19:50:03,7,7,,,
33,CARDIF s.r.o.,Slovensko,46625429,SK2023482802,2023482802,Banská Bystrica,97401,296,Horná Strieborná,b'\x01',16,Auto-moto/null,2023-12-06 19:50:22,2023-12-06 19:50:31,7,7,,,
34,Radovan Baránek,Slovensko,46104267,SK1083409855,1083409855,Šaštín-Stráže,90841,1104,Slnečná,b'\x01',,Bývanie a energie/null,2023-12-06 19:50:42,2023-12-06 19:50:52,7,7,,,
35,"EUROPHARMA, s. r. o.",Slovensko,35838841,SK7120000195,2020287500,Košice - mestská časť Juh,04011,8,Moldavská cesta,b'\x01',A,Zdravie a osobná starostlivosť/null,2023-12-06 19:51:13,2023-12-06 19:51:24,7,7,,,
36,Slovenské národné divadlo,Slovensko,00164763,SK2020829954,2020829954,Bratislava - mestská časť Staré Mesto,81901,7272,Pribinova,b'\x01',17,Zábava a oddych/null,2023-12-06 19:52:34,2023-12-06 19:52:50,7,7,,,
37,Tomáš Haba - Rozličný tovar,Slovensko,17651981,SK1020292548,1084070878,Štefanov,90645,343,Štefanov,b'\x00',,Stravovanie/null,2023-12-06 19:53:02,2023-12-07 15:26:24,7,7,,,
38,WANI s.r.o.,Slovensko,52746615,SK2121219243,2121219243,Borský Mikuláš,90877,1654,Na Výhone,b'\x01',,Bývanie a energie/null,2023-12-06 19:53:33,2023-12-06 19:53:39,7,7,,,
39,"OMV Slovensko, s.r.o.",Slovensko,00604381,SK2020491407,2020491407,Bratislava - mestská časť Petržalka,85101,25,Einsteinova,b'\x01',,Auto-moto/null,2023-12-06 19:53:59,2023-12-06 19:54:01,7,7,,,
40,Tibor Varga TSV Papier,Slovensko,32627211,SK1020577811,1020577811,Lučenec,98401,80,Ulica Vajanského,b'\x01',,Zábava a oddych/null,2023-12-06 19:59:02,2023-12-06 19:59:09,7,7,,,
41,"TESCO STORES SR, a.s.",Slovensko,31321828,SK7020000317,2020301140,Bratislava - mestská časť Ružinov,82104,2,Cesta na Senec,b'\x01',,Stravovanie/null,2023-12-06 19:59:29,2023-12-06 19:59:31,7,7,,,
42,"ALNIST, s. r. o.",Slovensko,46185810,SK2023277289,2023277289,Vlky,90044,34,Vlky,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-06 19:59:45,2023-12-06 20:00:02,7,7,,,
43,"PROTETIKA, a.s.",Slovensko,31322859,SK2020494652,2020494652,Bratislava - mestská časť Nové Mesto,82365,10,Bojnická,b'\x01',,,2023-12-06 20:00:50,2023-12-06 20:00:50,7,7,,,
44,KOTVIČKA s.r.o.,Slovensko,46027955,SK2023189454,2023189454,Senica,90501,1371,Kolónia,b'\x01',82,Stravovanie/null,2023-12-06 20:01:36,2023-12-06 20:01:38,7,7,,,
45,"ALBI, s.r.o.",Slovensko,36008303,SK2020451268,2020451268,Žilina,01001,8557,Oravská ulica,b'\x01',22,Zábava a oddych/null,2023-12-06 20:01:45,2023-12-06 20:01:49,7,7,,,
46,Cinema City Slovakia s. r. o.,Slovensko,44066490,SK2022566953,2022566953,Bratislava - mestská časť Petržalka,85101,20,Einsteinova,b'\x01',,Zábava a oddych/Zábava,2023-12-06 20:02:34,2024-09-17 19:20:20,7,system,,,
47,HORNBACH - Baumarkt SK spol. s r.o.,Slovensko,35838949,SK2020262684,2020262684,Bratislava - mestská časť Ružinov,82104,9,Galvaniho,b'\x01',,Bývanie a energie/null,2023-12-06 20:03:42,2023-12-06 20:03:44,7,7,,,
48,Pepco Slovakia s. r. o.,Slovensko,46868674,SK2023626858,2023626858,Bratislava - mestská časť Ružinov,82101,6,Nevädzová,b'\x01',,Oblečenie a obuv/null,2023-12-06 20:07:18,2023-12-06 20:07:20,7,7,,,
49,"STAVCENTRUM A-Z, s.r.o.",Slovensko,36358657,SK2022179654,2022179654,Šaštín-Stráže,90841,495,M.R. Štefánika,b'\x01',,Bývanie a energie/null,2023-12-06 20:08:13,2023-12-06 20:08:15,7,7,,,
50,"MEDICÍNSKE ZARIADENIE MLYNSKÁ DOLINA, s. r. o.",Slovensko,47236311,,2023388532,Bratislava - mestská časť Karlova Ves,84104,56,Staré grunty,b'\x00',,Zdravie a osobná starostlivosť/Lekári a nemocnice,2023-12-06 20:08:32,2024-11-04 19:21:04,7,system,,,
51,"Dráčik DIVI, s. r. o.",Slovensko,46118985,SK2023271261,2023271261,Bratislava - mestská časť Staré Mesto,81109,13,Gajova,b'\x01',,Zábava a oddych/null,2023-12-06 20:08:41,2023-12-06 20:08:43,7,7,,,
52,"Cipele, s.r.o.",Slovensko,36688771,SK2022264145,2022264145,Kráľová pri Senci,90050,7,Krmešská,b'\x01',7,Oblečenie a obuv/null,2023-12-06 20:10:11,2024-09-17 17:47:21,7,7,,,
53,FF1 s. r. o.,Slovensko,52422691,SK2121019692,2121019692,Košice - mestská časť Juh,04001,430,Mäsiarska,b'\x01',8,Stravovanie/null,2023-12-06 20:11:23,2023-12-06 20:11:34,7,7,,,
54,"Bio - Slnečnica, s. r. o.",Slovensko,44511787,SK2022726299,2022726299,Bratislava - mestská časť Ružinov,82108,32-36,Velehradská,b'\x01',,Stravovanie/null,2023-12-06 20:13:59,2023-12-06 20:14:01,7,7,,,
55,"BENU Páričkova, s.r.o.",Slovensko,51862107,SK2120820108,2120820108,Bratislava - mestská časť Vrakuňa,82107,19,Begóniová,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-06 20:16:44,2023-12-06 20:16:45,7,7,,,
56,Slovenský potravinársky priemysel a.s.,Slovensko,47793155,SK2024133650,2024133650,Bratislava - mestská časť Nové Mesto,83104,46A,Tomášikova,b'\x01',,Stravovanie/null,2023-12-06 20:17:38,2023-12-06 20:17:44,7,7,,,
57,Omrvinka s. r. o.,Slovensko,46563075,SK7120000195,2023466269,Košice - mestská časť Západ,04011,8,Moldavská cesta,b'\x01',A,Zdravie a osobná starostlivosť/null,2023-12-06 20:18:28,2023-12-06 20:18:44,7,7,,,
58,"Vesnala 1, s. r. o.",Slovensko,44939094,SK2022924574,2022924574,Bratislava - mestská časť Staré Mesto,81102,,Drotárska cesta,b'\x01',19B,Zdravie a osobná starostlivosť/null,2023-12-06 20:18:54,2024-09-17 17:25:12,7,7,,,
59,"Medusa Restaurants, a.s.",Slovensko,35849592,SK2020239463,2020239463,Bratislava - mestská časť Ružinov,82108,3,Súťažná,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2023-12-06 20:44:00,2024-11-04 19:21:04,7,system,,,
60,RMZ Group,,54851335,,,,,,,,,,2023-12-06 20:45:04,2023-12-06 20:45:04,7,7,,,
61,Bohdal,,47410531,,,,,,,,,,2023-12-06 20:49:40,2023-12-06 20:49:40,7,7,,,
62,Saba Parking,,35844256,,,,,,,,,,2023-12-06 20:50:30,2023-12-06 20:50:30,7,7,,,
63,Parking Kramare,,44120435,,,,,,,,,,2023-12-06 20:51:12,2023-12-06 20:51:12,7,7,,,
64,Dušan Záhorský - LU&D&KU-Z,Slovensko,51109352,SK1072222679,1072222679,Košice-Pereš,04011,702,Krompašská,b'\x01',107A,Bývanie a energie/null,2023-12-07 06:27:04,2023-12-07 06:27:13,7,7,,,
65,DENBEN s. r. o.,Slovensko,54596149,SK2121743723,2121743723,Bratislava - m. č. Podunajské Biskupice,82106,12484,Podunajská,b'\x01',31,Zábava a oddych/null,2023-12-07 06:29:15,2023-12-07 06:29:23,7,7,,,
66,"BISTRO, s. r. o.",Slovensko,45951632,SK2023155904,2023155904,Bratislava - mestská časť Ružinov,82104,3570,Kopanice,b'\x01',6,Stravovanie/null,2023-12-07 15:03:11,2023-12-07 15:03:18,7,7,,,
67,"WAGON SLOVAKIA KOŠICE, a.s.",Slovensko,31714854,SK7120001801,2020483872,Košice - mestská časť Staré Mesto,04001,13,Bencúrova,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2023-12-07 15:06:22,2024-06-30 19:19:15,7,system,,,
68,MPK Toys,,36319252,,,,,,,,,,2023-12-07 15:10:05,2023-12-07 15:10:05,7,7,,,
69,"Taormina, s.r.o.",Slovensko,36722006,SK2022295385,2022295385,Košice - mestská časť Juh,04001,4,Krivá,b'\x01',1041,Stravovanie/null,2023-12-07 15:10:44,2023-12-07 15:10:51,7,7,,,
70,Bohdal RAJ s. r. o.,Slovensko,53524101,SK2121404890,2121404890,Bratislava - mestská časť Nové Mesto,83101,1,Limbová,b'\x01',,Auto-moto/null,2023-12-07 15:12:34,2023-12-07 15:12:45,7,7,,,
71,"artBOX, s.r.o.",Slovensko,47147555,SK2023790032,2023790032,Bratislava - mestská časť Nové Mesto,83102,13152,Račianska,b'\x01',69B,Stravovanie/null,2023-12-07 15:19:17,2023-12-07 15:19:40,7,7,,,
72,DEWITT s.r.o.,Slovensko,51850796,SK2120833561,2120833561,Malacky,90101,30,Pezinská,b'\x01',,Stravovanie/null,2023-12-07 15:20:44,2023-12-07 15:20:48,7,7,,,
73,BENAF s.r.o.,Slovensko,44323484,SK2022668296,2022668296,Borský Mikuláš,90877,183,Sadová,b'\x01',84,Auto-moto/null,2023-12-07 15:21:02,2023-12-07 15:21:07,7,7,,,
74,"C&B BANG Tofu, s. r. o.",Slovensko,51734150,SK2120774029,2120774029,Bratislava - mestská časť Ružinov,82109,,Mliekárenská,b'\x01',3,Stravovanie/null,2023-12-07 15:21:24,2023-12-07 15:21:30,7,7,,,
75,Decathlon SK s. r. o.,Slovensko,47658827,SK2024047542,2024047542,Bratislava - mestská časť Ružinov,82104,,Pri letisku,b'\x01',2,Zábava a oddych/null,2023-12-07 15:24:01,2023-12-07 15:24:21,7,7,,,
76,MALINA potraviny s. r. o.,Slovensko,54827248,SK2121797051,2121797051,Levice,93401,2894,Švédska,b'\x00',1,Stravovanie/null,2023-12-07 15:25:23,2023-12-07 15:25:26,7,7,,,
77,"MOTEL GASTRO, s.r.o.",Slovensko,51340232,,2120680034,Topoľčany,95501,2070,Bernolákova,b'\x00',,Cestovanie/null,2023-12-07 15:25:57,2023-12-07 15:26:14,7,7,,,
78,Správa telovýchovných a rekreačných zariadení hlavného mesta SR Bratislavy,Slovensko,00179663,SK2020801695,2020801695,Bratislava - mestská časť Nové Mesto,83104,4,Junácka,b'\x01',,Zábava a oddych/null,2023-12-07 15:26:30,2023-12-07 15:26:46,7,7,,,
79,Xuan Duc Do -DHY,Slovensko,53570472,SK3120808955,3120808955,Štefanov,90645,64,Štefanov,b'\x01',,Stravovanie/null,2023-12-07 15:28:39,2023-12-08 09:10:09,7,7,,,
80,"DANUBIANA - Centrum moderného umenia, n. o.",Slovensko,45737932,SK2023478259,2023478259,Bratislava - mestská časť Rusovce,85110,1632,Hadriánova,b'\x01',2,Zábava a oddych/null,2023-12-07 15:29:42,2023-12-07 15:29:48,7,7,,,
81,"Husacina Galik, s.r.o.",Slovensko,50983105,SK2120563181,2120563181,Slovenský Grob,90026,21,Lipová,b'\x01',,,2023-12-07 15:31:09,2023-12-07 15:31:09,7,7,,,
82,"Ritterstein, s. r. o.",Slovensko,51043289,SK2120570529,2120570529,Nitra,94901,26,Hodžova,b'\x01',,,2023-12-07 15:32:12,2023-12-07 15:32:12,7,7,,,
83,Barmis s. r. o.,Slovensko,52975576,SK2121241529,2121241529,Bratislava - mestská časť Rača,83106,5,Barónka,b'\x01',,Stravovanie/null,2023-12-07 15:32:54,2023-12-07 15:33:00,7,7,,,
84,"JUVIK, s. r. o.",Slovensko,44895402,SK2022862754,2022862754,Bratislava - mestská časť Ružinov,82108,5,Dulovo námestie,b'\x01',A,Stravovanie/null,2023-12-07 15:34:29,2023-12-07 15:34:35,7,7,,,
85,"ELEZI, s.r.o.",Slovensko,48207306,SK2120088707,2120088707,Bratislava - mestská časť Vajnory,83107,9253,Roľnícka,b'\x01',51,Stravovanie/null,2023-12-07 15:35:04,2023-12-07 15:35:08,7,7,,,
86,"GHT, s.r.o.",Slovensko,35849452,SK2021698778,2021698778,Bratislava - mestská časť Petržalka,85103,2603,Mlynarovičova,b'\x01',22,Zábava a oddych/Záľuby a šport,2023-12-07 15:35:40,2024-11-04 19:21:04,7,system,,,
87,"ARW, s.r.o.",Slovensko,43801943,SK2022478744,2022478744,Dunajská Streda,92901,658,Galantská cesta,b'\x01',,Stravovanie/null,2023-12-07 15:36:04,2023-12-07 15:36:08,7,7,,,
88,ARNB SK s.r.o.,Slovensko,35905352,SK2021894435,2021894435,Bratislava - mestská časť Rača,83106,10,Karpatské námestie,b'\x01',A,Stravovanie/null,2023-12-07 15:36:22,2024-04-26 06:27:10,7,7,,,
89,Arriba,,35712066,,,,,,,,,,2023-12-07 15:38:32,2023-12-07 15:38:32,7,7,,,
90,Šafko s .r.o.,Slovensko,52732380,SK2121148986,2121148986,Bratislava - mestská časť Staré Mesto,81103,2,Suché Mýto,b'\x01',,Stravovanie/null,2023-12-08 09:13:22,2023-12-08 09:13:26,7,7,,,
91,fiftyfifty s. r. o.,Slovensko,44879741,SK2022861621,2022861621,Bratislava - mestská časť Nové Mesto,83103,580,Matičná,b'\x01',7,,2023-12-08 09:13:34,2023-12-08 09:13:34,7,7,,,
92,"ORAVA - STAV, s.r.o.",Slovensko,35785357,SK2020277864,2020277864,Bratislava - mestská časť Staré Mesto,81106,62,Obchodná,b'\x01',,Stravovanie/null,2023-12-08 09:13:49,2024-02-23 11:37:03,7,7,,,
93,Tomáš Haba - Rozličný tovar,Slovensko,17651981,SK1020292548,1084070878,Štefanov,90645,363,Štefanov,b'\x00',,,2023-12-08 09:15:16,2023-12-08 09:15:16,7,7,,,
94,Tomáš Haba - Rozličný tovar,Slovensko,17651981,SK1020292548,1084070878,Štefanov,90645,363,Štefanov,b'\x00',,,2023-12-08 09:15:28,2023-12-08 09:15:28,7,7,,,
95,Tomáš Haba - Rozličný tovar,Slovensko,17651981,SK1020292548,1084070878,Štefanov,90645,363,Štefanov,b'\x00',,,2023-12-08 09:15:37,2023-12-08 09:15:37,7,7,,,
96,Leberko s.r.o.,Slovensko,53691181,SK2121474344,2121474344,Bratislava - mestská časť Ružinov,82101,788,Muškátová,b'\x01',4,Stravovanie/Reštaurácie a kaviarne,2023-12-08 09:18:04,2024-06-21 19:19:07,7,system,,,
97,CALZEDONIA SLOVAK s. r. o.,Slovensko,44614004,SK2022782575,2022782575,Bratislava - mestská časť Ružinov,82109,,Mlynské nivy,b'\x01',5,Oblečenie a obuv/Móda,2023-12-08 09:19:34,2024-11-04 19:21:04,7,system,,,
98,Eventissimi s. r. o.,Slovensko,46883673,SK2023643050,2023643050,Bratislava - mestská časť Nové Mesto,83102,29,Račianska,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2023-12-08 09:21:48,2024-09-17 19:20:20,7,system,,,
99,Anton Orban,,32069006,,,,,,,,,,2023-12-08 09:24:06,2023-12-08 09:24:06,7,7,,,
100,"INFINITY team, s.r.o.",Slovensko,36563323,SK2021867650,2021867650,Podlužany,93527,1,Podlužany,b'\x01',,Bývanie a energie/null,2023-12-08 09:28:57,2023-12-08 09:29:46,7,7,,,
101,"WAD, s.r.o.",Slovensko,36751073,SK2022366478,2022366478,Bratislava - mestská časť Dúbravka,84101,15,Štepná,b'\x01',,Zábava a oddych/null,2023-12-08 09:29:57,2023-12-08 09:30:19,7,7,,,
102,Alza,,27082440,,,,,,,,,,2023-12-10 11:24:23,2023-12-10 11:24:23,7,7,,,
103,Medicka,,46803327,,,,,,,,,,2023-12-10 11:26:12,2023-12-10 11:26:12,7,7,,,
104,"Slovenská plavba a prístavy - lodná osobná doprava, a.s.",Slovensko,35839228,SK2020262442,2020262442,Bratislava - mestská časť Staré Mesto,81102,2,Fajnorovo nábrežie,b'\x01',,,2023-12-10 11:29:02,2023-12-10 11:29:02,7,7,,,
105,Bufet u Misky,,53848756,,,,,,,,,,2023-12-10 11:34:31,2023-12-10 11:34:31,7,7,,,
106,PAG investment s.r.o.,Slovensko,47365579,,2023852501,Bratislava - mestská časť Petržalka,85103,6a,Nám. Hraničiarov,b'\x00',,Oblečenie a obuv/null,2023-12-12 07:27:27,2023-12-12 07:34:45,7,7,,,
107,"LPP Slovakia, s.r.o.",Slovensko,36787507,SK2022386729,2022386729,Banská Bystrica,97401,9,Janka Kráľa,b'\x01',,Oblečenie a obuv/null,2023-12-12 07:28:24,2024-01-30 08:53:16,7,7,,,
108,"Ptáček - veľkoobchod, a. s.",Slovensko,35814586,SK2020202294,2020202294,Bratislava - mestská časť Nové Mesto,83104,140,Vajnorská,b'\x01',,Bývanie a energie/null,2023-12-12 07:30:18,2023-12-12 07:30:26,7,7,,,
109,decoLED SK s.r.o.,Slovensko,46279792,SK2023310322,2023310322,Bratislava - mestská časť Rača,83106,10A,Karpatské námestie,b'\x01',,Zábava a oddych/null,2023-12-12 07:30:50,2023-12-12 12:52:32,7,system,,,
110,Loupol s. r. o.,Slovensko,52670104,SK2121135841,2121135841,Dunajská Lužná,90042,,Školská,b'\x01',90,Stravovanie/null,2023-12-12 07:35:06,2023-12-12 07:35:17,7,7,,,
111,Lindex Slovakia s.r.o.,Slovensko,36811271,SK2022428474,2022428474,Bratislava - mestská časť Staré Mesto,81101,129,Gorkého,b'\x01',10,Oblečenie a obuv/null,2023-12-12 07:36:34,2023-12-12 07:36:41,7,7,,,
112,"JUMP Park Senica, s. r. o.",Slovensko,52983005,SK2121329265,2121329265,Bratislava - mestská časť Staré Mesto,81101,14,Michalská,b'\x01',,Zábava a oddych/null,2023-12-12 07:38:26,2023-12-12 07:38:32,7,7,,,
113,Eva Ladzianska - F.O.T.,Slovensko,43196632,SK1024882793,1024882793,Bratislava - mestská časť Staré Mesto,81108,19,Heydukova,b'\x01',,Stravovanie/null,2023-12-20 08:22:36,2023-12-20 08:22:41,7,7,,,
114,CORK GROUP s. r. o.,Slovensko,50651439,SK2120420181,2120420181,Bratislava - mestská časť Staré Mesto,81101,,Panská,b'\x01',4,,2023-12-20 08:22:56,2023-12-20 08:22:56,7,7,,,
115,FABKA s.r.o.,Slovensko,50187317,SK2120234204,2120234204,Bratislava - mestská časť Ružinov,82108,10,Dohnányho,b'\x01',,Bývanie a energie/null,2023-12-20 08:23:04,2023-12-20 08:23:10,7,7,,,
116,Renata Hermysova,,11695137,,,,,,,,,,2023-12-20 08:25:03,2023-12-20 08:25:03,7,7,,,
117,MEDIAPRESS Bratislava spol. s r.o.,Slovensko,31384421,SK2020354006,2020354006,Bratislava - mestská časť Nové Mesto,83104,9,Stará Vajnorská,b'\x01',,Zábava a oddych/null,2023-12-20 08:25:54,2023-12-20 08:26:03,7,7,,,
118,"VM 8, s. r. o.",Slovensko,54917182,SK2121817214,2121817214,Bratislava - mestská časť Rača,83106,,Pri šajbách,b'\x00',1,,2023-12-20 08:26:56,2023-12-20 08:26:56,7,7,,,
119,JYSK s.r.o.,Slovensko,35974133,SK2022117900,2022117900,Bratislava - mestská časť Staré Mesto,81108,14,Šoltésovej,b'\x01',,Bývanie a energie/null,2023-12-20 08:27:24,2023-12-20 08:27:26,7,7,,,
120,PANO3D s. r. o.,Slovensko,46486755,,2023479304,Bratislava - mestská časť Petržalka,85104,,Bulíkova,b'\x00',21,Stravovanie/null,2023-12-20 08:28:04,2023-12-20 08:28:05,7,7,,,
121,DANUBIUS spol. s r.o.,Slovensko,17643732,SK2020398545,2020398545,Bratislava - mestská časť Karlova Ves,84105,4,Albína Brunovského,b'\x01',,Stravovanie/Potraviny,2024-01-11 14:22:58,2024-05-14 19:18:39,5,system,,,
122,"AGRAX, spol. s r.o.",Slovensko,36230332,SK2020191624,2020191624,Sládkovičovo,92521,1364,Košútska,b'\x01',,Stravovanie/Potraviny,2024-01-11 14:23:11,2024-07-19 07:19:28,5,system,,,
123,GINO FOOD & BEVERAGE CORPORATION s. r. o.,Slovensko,46591265,SK2023584651,2023584651,Bratislava - mestská časť Staré Mesto,81109,,Pribinova,b'\x01',18,Stravovanie/null,2024-01-12 11:15:19,2024-01-12 11:15:21,7,7,,,
124,TERNO real estate s.r.o.,Slovensko,50020188,SK2120151011,2120151011,Bratislava - mestská časť Petržalka,85101,,Bratská,b'\x01',3,Stravovanie/Potraviny,2024-01-18 20:20:01,2024-07-22 07:19:30,5,system,,,
