id,category,product_id
225,drinks/wine,90
226,basic/canned-fruits-vegetable,91
227,drinks/beer,91
228,baby/supplies-hygiene,91
229,snacks/sweet,92
230,pastry/sweet,92
231,dairy/joghurts,92
232,dairy/joghurts,93
233,snacks/sweet,93
234,basic/baking,93
235,basic/canned-fish,94
236,meat/deli,94
237,basic/sauces,94
238,basic/pasta,96
239,home/office,96
240,basic/canned-fish,96
241,home/accessories,97
242,home/office,97
243,pastry/other,97
244,basic/wheat-legumes,98
245,home/plants-garden,98
246,home/maintenence,98
247,meat/meat-products,99
248,pastry/salty,99
249,dairy/eggs,99
250,drinks/juice,100
251,basic/canned-fish,100
252,drinks/non-alcoholic,100
253,basic/baking,101
254,home/plants-garden,101
255,basic/pasta,101
256,meat/deli,102
257,meat/fish,102
258,basic/canned-fish,102
259,pastry/sweet,103
260,dairy/joghurts,103
261,drinks/wine,103
262,drinks/non-alcoholic,2
263,dairy/joghurts,2
264,eating,2
265,meat/meat,104
266,pastry/basic,104
267,fashion/clothes,104
268,home/maintenence,17
269,drugstore/hygiene,17
270,other,17
271,snacks/sweet,106
272,home/accessories,106
273,home/maintenence,106
274,basic/canned-fish,108
275,meat/deli,108
276,fruits-veg/vegetable,108
277,home/maintenence,110
278,home/office,110
279,basic/canned-fruits-vegetable,110
280,home/accessories,112
281,basic/baking,112
282,dairy/joghurts,112
283,dairy/cheese,21
284,basic/spread,21
285,meat/meat-products,21
286,pastry/basic,114
287,basic/instant,114
288,fruits-veg/vegetable,114
289,dairy/cheese,115
290,drinks/alcohol,115
291,dairy/joghurts,115
292,health/vitamins-ointments,116
293,basic/baking,116
294,home/accessories,116
295,basic/spread,118
296,basic/sauces,118
297,meat/meat-products,118
298,home/accessories,26
299,home/maintenence,26
300,health/medical-supplies,26
301,dairy/joghurts,119
302,basic/canned-fruits-vegetable,119
303,health/vitamins-ointments,119
304,basic/sugar-flour-rice,120
305,meat/fish,120
306,pastry/basic,120
307,pastry/basic,122
308,pastry/salty,122
309,home/accessories,122
310,home/accessories,123
311,pastry/sweet,123
312,home/maintenence,123
313,drinks/juice,124
314,drinks/non-alcoholic,124
315,health/lady,124
316,fruits-veg/fruit,125
317,basic/canned-fruits-vegetable,125
318,home/plants-garden,125
319,fruits-veg/vegetable,126
320,drinks/non-alcoholic,126
321,basic/canned-fruits-vegetable,126
322,fruits-veg/vegetable,127
323,free-time/books-news-magazines,127
324,fruits-veg/fruit,127
325,drinks/alcohol,128
326,frozen/instant,128
327,basic/tea-coffee-soups,128
328,home/maintenence,129
329,drugstore/hygiene,129
330,drugstore/beauty,129
331,drinks/juice,130
332,health/lady,130
333,basic/canned-fish,130
334,dairy/butter,131
335,fruits-veg/dried-nuts,131
336,pastry/sweet,131
337,dairy/cheese,133
338,basic/spread,133
339,dairy/lact-free,133
340,dairy/cheese,135
341,basic/spread,135
342,meat/meat-products,135
343,dairy/cheese,136
344,fruits-veg/vegetable,136
345,health/vitamins-ointments,136
346,snacks/salty,138
347,snacks/sweet,138
348,basic/morning,138
349,pastry/basic,122
350,pastry/sweet,122
351,home/accessories,122
352,dairy/cream,139
353,fruits-veg/dried-nuts,139
354,dairy/lact-free,139
355,dairy/cheese,140
356,meat/meat-products,140
357,dairy/milk,140
358,meat/meat-products,141
359,pastry/salty,141
360,basic/sugar-flour-rice,141
361,health/vitamins-ointments,142
362,home/maintenence,142
363,drinks/wine,142
364,drinks/juice,124
365,frozen/sweet,124
366,health/lady,124
367,drinks/non-alcoholic,2
368,dairy/joghurts,2
369,eating,2
370,pastry/sweet,143
371,dairy/joghurts,143
372,basic/jams-marmelade-honey,143
373,pastry/basic,144
374,basic/instant,144
375,dairy/cheese,144
376,fruits-veg/fruit,34
377,free-time/books-news-magazines,34
378,meat/meat-products,34
379,basic/spread,118
380,basic/sauces,118
381,meat/meat-products,118
382,snacks/sweet,145
383,pastry/sweet,145
384,dairy/joghurts,145
385,fruits-veg/fruit,146
386,snacks/salty,146
387,snacks/sweet,146
388,fruits-veg/vegetable,147
389,basic/canned-fruits-vegetable,147
390,dairy/cheese,147
391,dairy/cheese,149
392,frozen/instant,149
393,basic/instant,149
394,dairy/cheese,151
395,drinks/alcohol,151
396,drinks/wine,151
397,drinks/wine,153
398,meat/fish,153
399,frozen/instant,153
400,snacks/sweet,154
401,fashion/clothes,154
402,basic/spread,154
403,dairy/joghurts,155
404,dairy/cheese,155
405,pastry/salty,155
406,home/accessories,156
407,free-time/toys,156
408,basic/pasta,156
409,home/maintenence,157
410,home/cleaning,157
411,drinks/beer,157
412,snacks/salty,158
413,snacks/sweet,158
414,fruits-veg/dried-nuts,158
415,meat/smoked,159
416,dairy/joghurts,159
417,drinks/beer,159
418,baby/supplies-hygiene,160
419,basic/canned-fruits-vegetable,160
420,home/office,160
421,drugstore/hygiene,161
422,baby/supplies-hygiene,161
423,snacks/sweet,161
424,baby/fake-food,162
425,fruits-veg/fruit,162
426,basic/canned-fruits-vegetable,162
427,basic/canned-fruits-vegetable,163
428,fruits-veg/vegetable,163
429,home/plants-garden,163
430,fruits-veg/vegetable,164
431,dairy/cheese,164
432,basic/canned-fruits-vegetable,164
433,home/accessories,165
434,free-time/books-news-magazines,165
435,fruits-veg/vegetable,165
436,basic/sugar-flour-rice,166
437,home/maintenence,166
438,drinks/non-alcoholic,166
439,basic/pasta,167
440,pastry/other,167
441,home/laundry,167
442,home/maintenence,168
443,basic/pasta,168
444,baby/supplies-hygiene,168
445,pastry/sweet,169
446,snacks/sweet,169
447,dairy/milk,169
448,frozen/instant,170
449,pastry/salty,170
450,basic/instant,170
451,basic/canned-fish,171
452,baby/food,171
453,meat/deli,171
454,fruits-veg/vegetable,172
455,basic/canned-fruits-vegetable,172
456,dairy/cheese,172
457,home/cleaning,173
458,drinks/beer,173
459,home/plants-garden,173
460,home/maintenence,174
461,drugstore/beauty,174
462,home/accessories,174
463,fruits-veg/vegetable,175
464,basic/canned-fruits-vegetable,175
465,snacks/sweet,175
466,frozen/fruit-vegetable,176
467,basic/canned-fruits-vegetable,176
468,basic/wheat-legumes,176
469,basic/wheat-legumes,177
470,health/vitamins-ointments,177
471,home/maintenence,177
472,home/maintenence,178
473,home/cleaning,178
474,baby/supplies-hygiene,178
475,basic/pasta,179
476,basic/instant,179
477,free-time/books-news-magazines,179
478,basic/sauces,180
479,basic/spread,180
480,basic/pasta,180
481,home/maintenence,181
482,home/plants-garden,181
483,meat/fish,181
484,meat/meat,182
485,fashion/clothes,182
486,basic/jams-marmelade-honey,182
487,meat/meat,183
488,basic/instant,183
489,basic/spices,183
490,meat/meat,184
491,basic/instant,184
492,basic/spices,184
493,fruits-veg/vegetable,185
494,dairy/cheese,185
495,pastry/basic,185
496,drugstore/beauty,186
497,drinks/alcohol,186
498,home/maintenence,186
499,basic/sugar-flour-rice,187
500,pastry/salty,187
501,dairy/eggs,187
502,frozen/fruit-vegetable,188
503,home/maintenence,188
504,drugstore/beauty,188
505,basic/canned-fruits-vegetable,189
506,frozen/sweet,189
507,frozen/fruit-vegetable,189
508,frozen/instant,190
509,frozen/sweet,190
510,pastry/salty,190
511,basic/jams-marmelade-honey,191
512,dairy/joghurts,191
513,basic/canned-fruits-vegetable,191
514,snacks/salty,192
515,pets,192
516,snacks/sweet,192
517,basic/canned-fruits-vegetable,193
518,frozen/sweet,193
519,drinks/alcohol,193
520,fruits-veg/vegetable,194
521,dairy/cheese,194
522,drinks/beer,194
523,basic/tea-coffee-soups,195
524,pastry/sweet,195
525,home/maintenence,195
526,fruits-veg/vegetable,196
527,home/accessories,196
528,basic/sugar-flour-rice,196
529,fruits-veg/vegetable,197
530,dairy/cheese,197
531,drinks/beer,197
532,fruits-veg/fruit,198
533,drinks/juice,198
534,free-time/books-news-magazines,198
535,basic/canned-fruits-vegetable,199
536,fruits-veg/vegetable,199
537,snacks/sweet,199
538,fruits-veg/fruit,200
539,free-time/books-news-magazines,200
540,meat/meat-products,200
541,fruits-veg/vegetable,201
542,snacks/sweet,201
543,fruits-veg/fruit,201
544,fruits-veg/vegetable,202
545,home/plants-garden,202
546,basic/sugar-flour-rice,202
547,fruits-veg/vegetable,203
548,drinks/alcohol,203
549,fruits-veg/fruit,203
550,meat/meat-products,204
551,basic/spread,204
552,meat/meat,204
553,meat/meat-products,205
554,meat/meat,205
555,basic/spread,205
556,fruits-veg/vegetable,206
557,dairy/cheese,206
558,fruits-veg/fruit,206
559,fruits-veg/vegetable,207
560,dairy/cheese,207
561,basic/tea-coffee-soups,207
562,home/plants-garden,208
563,meat/meat,208
564,home/maintenence,208
565,dairy/milk,209
566,drinks/mineral-water,209
567,drinks/non-alcoholic,209
568,basic/spread,210
569,basic/sauces,210
570,meat/meat-products,210
571,dairy/cream,211
572,basic/spread,211
573,basic/baking,211
574,pastry/sweet,212
575,dairy/joghurts,212
576,snacks/sweet,212
577,dairy/cheese,213
578,fruits-veg/vegetable,213
579,free-time/books-news-magazines,213
580,basic/canned-fruits-vegetable,214
581,drinks/non-alcoholic,214
582,drinks/wine,214
583,basic/spread,215
584,basic/sauces,215
585,basic/tea-coffee-soups,215
586,dairy/cheese,216
587,fruits-veg/dried-nuts,216
588,meat/smoked,216
589,dairy/cream,217
590,dairy/joghurts,217
591,basic/spread,217
592,pastry/basic,218
593,basic/spread,218
594,pastry/other,218
595,dairy/cheese,219
596,pastry/sweet,219
597,meat/meat-products,219
598,fruits-veg/vegetable,220
599,dairy/cheese,220
600,meat/deli,220
601,baby/supplies-hygiene,221
602,snacks/sweet,221
603,pastry/sweet,221
604,auto/fuel,222
605,drinks/alcohol,222
606,free-time/other,222
607,pastry/sweet,38
608,home/decorations,38
609,drinks/beer,38
610,pastry/sweet,40
611,home/decorations,40
612,drinks/beer,40
613,pastry/sweet,42
614,home/decorations,42
615,drinks/beer,42
616,pastry/sweet,44
617,home/decorations,44
618,drinks/beer,44
619,pastry/sweet,46
620,home/decorations,46
621,drinks/beer,46
622,pastry/sweet,49
623,home/decorations,49
624,drinks/beer,49
625,pastry/sweet,52
626,basic/tea-coffee-soups,52
627,free-time/toys,52
628,pastry/sweet,54
629,home/decorations,54
630,drinks/beer,54
631,pastry/sweet,56
632,home/decorations,56
633,drinks/beer,56
634,pastry/sweet,59
635,home/decorations,59
636,drinks/beer,59
637,pastry/sweet,62
638,home/decorations,62
639,drinks/beer,62
640,pastry/sweet,65
641,basic/tea-coffee-soups,65
642,free-time/toys,65
643,pastry/sweet,67
644,home/decorations,67
645,drinks/beer,67
646,pastry/sweet,76
647,home/decorations,76
648,drinks/beer,76
649,pastry/sweet,81
650,home/decorations,81
651,drinks/beer,81
652,pastry/sweet,95
653,home/decorations,95
654,drinks/beer,95
655,home/accessories,105
656,home/maintenence,105
657,pastry/sweet,105
658,other,107
659,pastry/sweet,107
660,home/maintenence,107
661,other,109
662,pastry/sweet,109
663,home/maintenence,109
664,other,111
665,pastry/sweet,111
666,home/maintenence,111
667,drinks/beer,113
668,home/plants-garden,113
669,drugstore/beauty,113
670,home/accessories,117
671,home/maintenence,117
672,pastry/sweet,117
673,other,121
674,pastry/sweet,121
675,home/maintenence,121
676,other,132
677,pastry/sweet,132
678,home/maintenence,132
679,drinks/beer,134
680,home/plants-garden,134
681,drugstore/beauty,134
682,home/accessories,137
683,home/maintenence,137
684,pastry/sweet,137
685,drugstore/beauty,148
686,home/plants-garden,148
687,fruits-veg/dried-nuts,148
688,other,150
689,pastry/sweet,150
690,home/maintenence,150
691,drugstore/beauty,152
692,home/plants-garden,152
693,fruits-veg/dried-nuts,152
694,fruits-veg/vegetable,223
695,basic/canned-fruits-vegetable,223
696,dairy/cheese,223
697,pastry/sweet,225
698,basic/tea-coffee-soups,225
699,snacks/sweet,225
700,dairy/milk,227
701,drinks/mineral-water,227
702,drinks/non-alcoholic,227
703,home/maintenence,228
704,free-time/toys,228
705,basic/sauces,228
706,basic/wheat-legumes,229
707,fruits-veg/vegetable,229
708,basic/tea-coffee-soups,229
709,basic/sauces,230
710,drugstore/beauty,230
711,basic/pasta,230
712,home/office,231
713,basic/pasta,231
714,free-time/visual,231
715,basic/spread,232
716,dairy/cream,232
717,meat/meat-products,232
718,dairy/eggs,233
719,home/accessories,233
720,pastry/salty,233
721,meat/meat-products,234
722,meat/deli,234
723,fruits-veg/vegetable,234
724,meat/meat-products,235
725,meat/smoked,235
726,basic/spread,235
727,home/maintenence,236
728,home/office,236
729,home/cleaning,236
730,basic/baking,237
731,home/maintenence,237
732,home/cleaning,237
733,fruits-veg/fruit,238
734,meat/meat-products,238
735,drinks/alcohol,238
736,home/cleaning,239
737,home/maintenence,239
738,home/office,239
739,fruits-veg/vegetable,240
740,basic/canned-fruits-vegetable,240
741,dairy/cheese,240
742,home/maintenence,241
743,home/accessories,241
744,basic/soy-products,241
745,basic/instant,242
746,free-time/toys,242
747,pastry/basic,242
748,baby/supplies-hygiene,243
749,drugstore/hygiene,243
750,baby/fake-food,243
751,dairy/cheese,244
752,drinks/alcohol,244
753,frozen/instant,244
754,fruits-veg/vegetable,245
755,dairy/cheese,245
756,free-time/books-news-magazines,245
757,fruits-veg/vegetable,246
758,dairy/cheese,246
759,drinks/alcohol,246
760,meat/smoked,247
761,hazard,247
762,meat/meat-products,247
763,fruits-veg/vegetable,248
764,basic/canned-fruits-vegetable,248
765,fruits-veg/fruit,248
766,dairy/cheese,249
767,basic/baking,249
768,basic/spread,249
769,fruits-veg/fruit,250
770,drinks/alcohol,250
771,meat/meat-products,250
772,fruits-veg/fruit,251
773,home/plants-garden,251
774,fruits-veg/vegetable,251
775,drugstore/beauty,252
776,home/maintenence,252
777,drugstore/hygiene,252
778,pastry/basic,253
779,basic/instant,253
780,meat/meat,253
781,pastry/basic,254
782,pastry/other,254
783,fruits-veg/vegetable,254
784,pastry/salty,255
785,pastry/basic,255
786,drinks/beer,255
787,pastry/sweet,256
788,snacks/sweet,256
789,dairy/joghurts,256
790,fruits-veg/fruit,257
791,eating,257
792,drinks/alcohol,257
793,home/plants-garden,224
794,free-time/books-news-magazines,224
795,fruits-veg/dried-nuts,224
796,home/plants-garden,226
797,free-time/books-news-magazines,226
798,fruits-veg/dried-nuts,226
799,fruits-veg/vegetable,258
800,drinks/beer,258
801,home/plants-garden,258
802,fruits-veg/vegetable,259
803,dairy/cheese,259
804,dairy/milk,259
805,fruits-veg/fruit,260
806,free-time/books-news-magazines,260
807,eating,260
808,fruits-veg/fruit,261
809,free-time/books-news-magazines,261
810,meat/meat-products,261
811,fruits-veg/fruit,262
812,free-time/books-news-magazines,262
813,drinks/alcohol,262
814,fruits-veg/vegetable,263
815,health/vitamins-ointments,263
816,home/office,263
817,fruits-veg/vegetable,264
818,dairy/cheese,264
819,home/laundry,264
820,pastry/salty,265
821,frozen/instant,265
822,pastry/sweet,265
823,pastry/basic,267
824,home/accessories,267
825,basic/instant,267
826,drinks/alcohol,268
827,drinks/beer,268
828,drinks/wine,268
829,basic/tea-coffee-soups,270
830,health/vitamins-ointments,270
831,snacks/sweet,270
832,health/vitamins-ointments,271
833,snacks/sweet,271
834,home/laundry,271
835,basic/sugar-flour-rice,273
836,health/vitamins-ointments,273
837,home/maintenence,273
838,basic/baking,274
839,meat/fish,274
840,baby/supplies-hygiene,274
841,home/plants-garden,275
842,fruits-veg/dried-nuts,275
843,basic/canned-fruits-vegetable,275
844,basic/sugar-flour-rice,276
845,basic/oil-acid-grease,276
846,health/vitamins-ointments,276
847,snacks/sweet,277
848,pastry/sweet,277
849,home/maintenence,277
850,snacks/sweet,278
851,dairy/milk,278
852,dairy/joghurts,278
853,basic/pasta,280
854,home/office,280
855,home/laundry,280
856,basic/oil-acid-grease,281
857,basic/spices,281
858,dairy/butter,281
859,snacks/sweet,282
860,drugstore/hygiene,282
861,fruits-veg/vegetable,282
862,basic/canned-fish,283
863,meat/deli,283
864,pastry/salty,283
865,dairy/joghurts,284
866,baby/supplies-hygiene,284
867,health/vitamins-ointments,284
868,dairy/joghurts,285
869,health/vitamins-ointments,285
870,dairy/lact-free,285
871,dairy/joghurts,286
872,dairy/lact-free,286
873,health/vitamins-ointments,286
874,dairy/joghurts,287
875,pastry/salty,287
876,health/vitamins-ointments,287
877,dairy/milk,288
878,dairy/joghurts,288
879,dairy/cheese,288
880,dairy/eggs,289
881,home/accessories,289
882,pastry/salty,289
883,dairy/joghurts,290
884,basic/canned-fruits-vegetable,290
885,health/vitamins-ointments,290
886,dairy/joghurts,291
887,health/medical-supplies,291
888,dairy/lact-free,291
889,dairy/butter,292
890,pastry/salty,292
891,basic/oil-acid-grease,292
892,drugstore/beauty,293
893,health/lady,293
894,basic/jams-marmelade-honey,293
895,basic/baking,294
896,home/office,294
897,home/decorations,294
898,home/maintenence,295
899,basic/pasta,295
900,drinks/non-alcoholic,295
901,drinks/beer,296
902,dairy/cheese,296
903,fruits-veg/vegetable,296
904,drinks/beer,297
905,basic/baking,297
906,drinks/non-alcoholic,297
907,pastry/sweet,298
908,home/office,298
909,pastry/other,298
910,home/office,299
911,basic/canned-fruits-vegetable,299
912,health/vitamins-ointments,299
913,fruits-veg/vegetable,301
914,dairy/cheese,301
915,pastry/sweet,301
916,snacks/sweet,302
917,pastry/sweet,302
918,dairy/milk,302
919,pastry/sweet,266
920,basic/tea-coffee-soups,266
921,free-time/toys,266
922,pastry/sweet,269
923,basic/tea-coffee-soups,269
924,free-time/toys,269
925,pastry/sweet,272
926,basic/tea-coffee-soups,272
927,free-time/toys,272
928,pastry/sweet,279
929,basic/tea-coffee-soups,279
930,free-time/toys,279
931,pastry/sweet,300
932,basic/tea-coffee-soups,300
933,free-time/toys,300
934,pastry/sweet,103
935,dairy/joghurts,103
936,drinks/wine,103
937,drinks/non-alcoholic,2
938,dairy/joghurts,2
939,eating,2
940,meat/meat,104
941,pastry/basic,104
942,fashion/clothes,104
943,home/maintenence,17
944,drugstore/hygiene,17
945,other,17
946,snacks/sweet,106
947,home/accessories,106
948,home/maintenence,106
949,basic/canned-fish,108
950,meat/deli,108
951,fruits-veg/vegetable,108
952,home/maintenence,110
953,home/office,110
954,basic/canned-fruits-vegetable,110
955,home/accessories,112
956,basic/baking,112
957,dairy/joghurts,112
958,dairy/cheese,21
959,basic/spread,21
960,meat/meat-products,21
961,pastry/basic,114
962,basic/instant,114
963,fruits-veg/vegetable,114
964,dairy/cheese,115
965,drinks/alcohol,115
966,dairy/joghurts,115
967,health/vitamins-ointments,116
968,basic/baking,116
969,home/accessories,116
970,basic/spread,118
971,basic/sauces,118
972,meat/meat-products,118
973,home/accessories,26
974,home/maintenence,26
975,health/medical-supplies,26
976,dairy/joghurts,119
977,basic/canned-fruits-vegetable,119
978,health/vitamins-ointments,119
979,basic/sugar-flour-rice,120
980,meat/fish,120
981,pastry/basic,120
982,pastry/basic,122
983,pastry/salty,122
984,home/accessories,122
985,home/accessories,123
986,pastry/sweet,123
987,home/maintenence,123
988,drinks/juice,124
989,drinks/non-alcoholic,124
990,health/lady,124
991,fruits-veg/fruit,125
992,basic/canned-fruits-vegetable,125
993,home/plants-garden,125
994,fruits-veg/vegetable,126
995,drinks/non-alcoholic,126
996,basic/canned-fruits-vegetable,126
997,fruits-veg/vegetable,127
998,free-time/books-news-magazines,127
999,fruits-veg/fruit,127
1000,pastry/sweet,103
1001,dairy/joghurts,103
1002,drinks/wine,103
1003,drinks/non-alcoholic,2
1004,dairy/joghurts,2
1005,eating,2
1006,meat/meat,104
1007,pastry/basic,104
1008,fashion/clothes,104
1009,home/maintenence,17
1010,drugstore/hygiene,17
1011,other,17
1012,snacks/sweet,106
1013,home/accessories,106
1014,home/maintenence,106
1015,basic/canned-fish,108
1016,meat/deli,108
1017,fruits-veg/vegetable,108
1018,home/maintenence,110
1019,home/office,110
1020,basic/canned-fruits-vegetable,110
1021,home/accessories,112
1022,basic/baking,112
1023,dairy/joghurts,112
1024,dairy/cheese,21
1025,basic/spread,21
1026,meat/meat-products,21
1027,pastry/basic,114
1028,basic/instant,114
1029,fruits-veg/vegetable,114
1030,dairy/cheese,115
1031,drinks/alcohol,115
1032,dairy/joghurts,115
1033,health/vitamins-ointments,116
1034,basic/baking,116
1035,home/accessories,116
1036,basic/spread,118
1037,basic/sauces,118
1038,meat/meat-products,118
1039,home/accessories,26
1040,home/maintenence,26
1041,health/medical-supplies,26
1042,dairy/joghurts,119
1043,basic/canned-fruits-vegetable,119
1044,health/vitamins-ointments,119
1045,basic/sugar-flour-rice,120
1046,meat/fish,120
1047,pastry/basic,120
1048,pastry/basic,122
1049,pastry/salty,122
1050,home/accessories,122
1051,home/accessories,123
1052,pastry/sweet,123
1053,home/maintenence,123
1054,drinks/juice,124
1055,drinks/non-alcoholic,124
1056,health/lady,124
1057,fruits-veg/fruit,125
1058,basic/canned-fruits-vegetable,125
1059,home/plants-garden,125
1060,fruits-veg/vegetable,126
1061,drinks/non-alcoholic,126
1062,basic/canned-fruits-vegetable,126
1063,fruits-veg/vegetable,127
1064,free-time/books-news-magazines,127
1065,fruits-veg/fruit,127
1066,basic/baking,37
1067,dairy/lact-free,37
1068,health/vitamins-ointments,37
1069,pets,39
1070,meat/fish,39
1071,home/office,39
1072,home/maintenence,41
1073,home/cleaning,41
1074,home/office,41
1075,basic/pasta,43
1076,home/maintenence,43
1077,drinks/alcohol,43
1078,baby/supplies-hygiene,45
1079,home/maintenence,45
1080,home/office,45
1081,drinks/juice,47
1082,home/plants-garden,47
1083,drinks/non-alcoholic,47
1084,baby/food,48
1085,meat/meat-products,48
1086,basic/spread,48
1087,dairy/milk,50
1088,dairy/joghurts,50
1089,drinks/beer,50
1090,basic/canned-fruits-vegetable,51
1091,meat/fish,51
1092,dairy/cheese,51
1093,basic/spread,53
1094,snacks/sweet,53
1095,meat/meat-products,53
1096,dairy/eggs,55
1097,home/accessories,55
1098,pastry/salty,55
1099,dairy/joghurts,57
1100,health/vitamins-ointments,57
1101,basic/baking,57
1102,dairy/cream,58
1103,dairy/joghurts,58
1104,basic/baking,58
1105,dairy/butter,60
1106,pastry/salty,60
1107,basic/oil-acid-grease,60
1108,dairy/cheese,61
1109,drinks/alcohol,61
1110,drinks/wine,61
1111,meat/meat,63
1112,basic/instant,63
1113,fashion/clothes,63
1114,snacks/sweet,64
1115,home/maintenence,64
1116,pastry/sweet,64
1117,dairy/cheese,66
1118,basic/baking,66
1119,fruits-veg/dried-nuts,66
1120,drinks/mineral-water,68
1121,drinks/non-alcoholic,68
