id,receipt_id,ico,cash_register_code,issue_date,create_date,customer_id,dic,ic_dph,invoice_number,okp,paragon,paragon_number,receipt_number,type,tax_base_basic,tax_base_reduced,total_price,free_tax_amount,vat_amount_basic,vat_amount_reduced,vat_rate_basic,vat_rate_reduced,exemption,org_building_number,org_country,org_dic,org_ic_dph,org_ico,org_municipality,org_name,org_postal_code,org_property_registration_number,org_street_name,org_vat_payer,unit_building_number,unit_cash_register_code,unit_country,unit_municipality,unit_postal_code,unit_property_registration_number,unit_street_name,unit_name,unit_type,pkp,category,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by
13,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-13 19:22:28,2023-11-13 19:22:44,1,1
14,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-13 19:28:44,2023-11-13 19:28:44,1,1
16,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,Stravovanie/Potraviny,1,1,2023-11-22 11:27:40,2023-11-27 18:57:57,1,1
17,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-22 12:03:55,2023-11-22 12:04:09,1,1
18,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-22 12:15:34,2023-11-22 12:15:34,1,1
24,O-6188D68FF20E49A388D68FF20EF9A3EF,31331131,88820202958600063,23.11.2023 12:49:38,23.11.2023 12:49:38,,2020295860,SK2020295860,,0e5b6239-5c224746-17637729-43f3a3f6-6c4b3ff6,b'\x00',,5302,PD,39.0,0.0,46.8,0.0,7.8,0.0,20.0,10.0,b'\x00',,Slovensko,2020295860,SK2020295860,31331131,Bratislava - mestská časť Ružinov,"Štatistické a evidenčné vydavateľstvo tlačív,a.s.ŠEVT a.s. /skrátená verzia obchodného mena/",,6,Plynárenská,b'\x01',,88820202958600063,Slovensko,Bratislava,83104,100,"Ševt, Vivo Vajnorská",,STANDARD,Ym5z1Wo+itxYQYqH97OBbwwr95EqhfmLz6FqRI+MCoQvmuQcXoMb7P7uaK2dFOVIQMcC2ydaEKnCBa2I9l10wjgZZhwl4fRe/1XGI8Digop8DXwmqs5ORyWMDhS2zhJRDKbjzuizzLGRmTYGG4lZE10p0HXkFhiBQdDLAevtWsbB43Hj0psH/4nJ3/S2tPMuUKqlJJ7ndS3tWGQn+hPJeE94cUWB2AwUZUX6r2F43bXYh8CghZjsFU1UT5Em3UmMtZAbAnXVkD2HtKY5doQ3PiT+2jHv9QlnmvEO2egxM2rRLxh8jmnBbbghy4WgXBZFlxFhh+GWUbyHnN0Trbu1eA==,Zábava a oddych/null,5,7,2023-11-24 21:24:13,2023-11-29 18:15:42,7,7
25,O-1F789AF9AAD44584B89AF9AAD4C58447,35790164,88820202342160712,19.02.2022 14:14:18,19.02.2022 14:14:18,,2020234216,SK2020234216,,52DE1566-1BE549C5-B8A5CCC7-BC9E507F-4CC41A49,b'\x00',,9171,PD,65.34,13.12,93.14,0.3,13.07,1.31,20.0,10.0,b'\x00',41/A,Slovensko,2020234216,SK2020234216,35790164,Bratislava - mestská časť Nové Mesto,Kaufland Slovenská republika v.o.s.,,,Trnavská cesta,b'\x01',1,88820202342160712,Slovensko,Bratislava,84101,3580,Harmincova,,STANDARD,ebnlRYqL/y1+GdnkdsEBbATW/cxHDIlabFFnSaOgpboeNOJBEZMTX29Dqj492duZaurmfYV1RGUaTvIEwt/FtZBaEob34+rDAv5uwNI0cCTXKMnQMEpyiA/MPPKoxQ6AJv1knWHbVlXWS09wPHyTks3bDFqbld78yUReek9x0MM2pvCZdLGOpv79hYdLehPlNpUcxv6mq0SNad6lfVuMM11pLlCKXRDZe2bZgP4Au/1ORbAWpXhKuLHkO2chreBwlFiP65voYDr75QlKomHFbkh3HVwlvsau/PcWfM+3DFtlYrcPGXFPNsDCC8cbEk2hA1If3irhY3rb62Z8USbCbA==,Stravovanie/Potraviny,2,2,2023-11-27 11:22:45,2023-11-27 11:23:28,1,1
26,O-6D53E56163F34C9C93E56163F37C9CD9,35821272,88820215961590004,26.11.2023 15:41:20,26.11.2023 15:41:20,,2021596159,SK2021596159,,8348103D-CE77D6BE-C5E83040-9F0E7BFA-3F080A76,b'\x00',,1535,PD,33.32,0.0,39.99,0.0,6.67,0.0,20.0,10.0,b'\x00',,Slovensko,2021596159,SK2021596159,35821272,Bratislava - mestská časť Nové Mesto,Peek & Cloppenburg s.r.o.,,1,Jarošova,b'\x01',,88820215961590004,Slovensko,BRATISLAVA,81109,8,PRIBINOVA,,STANDARD,aFKO9qe9OH4F4QzPx21Q9EPJBR91nP80dQBrPfXcpjcuuyvjnjyC6AoE+XVh/L6k4lzbeSu9bSQ7GK/eBgpckzUTjZdw3CahUwnOQLZkidQgdATTNNv3aPrw9iBaWXKNqQPkP/vCj8Hs+KjYPkCK55uz1SvIRAPNaY5IkWBTDv1OmVBlw9keOQG7jgWen0bBKyne9tvS3A8oEXNlakpe1x+huk+3JCUS0uP7UByWU6Ns2NvkjwntWEFNaU0DVMimOAmrIZXBoQztmEcaVzurr44gV7549R5Mwx8gwV6MWS2cKVlOQEMU0vUe2UEsdn0ndn/XRCkRbGiTaGU7lV3BfQ==,Oblečenie a obuv/null,6,8,2023-11-27 11:23:57,2023-11-27 11:24:03,1,1
27,O-78F6D09FC5734B84B6D09FC5732B84D7,47470615,88820239041350002,19.02.2022 14:18:31,19.02.2022 14:18:31,,2023904135,SK7020000350,,1D6962C9-179E3940-411F904E-FE42C3AA-33C8F636,b'\x00',,2725,PD,0.0,10.0,11.0,0.0,0.0,1.0,20.0,10.0,b'\x00',2/A,Slovensko,2023904135,SK7020000350,47470615,Bratislava - mestská časť Rača,"BENU SK 43, s. r. o.",,,Pribylinská,b'\x01',1,88820239041350002,Slovensko,Bratislava,84101,3580,Harmincova,,STANDARD,tQXVe8r1rHFsEXDRFkX19s+vzyg1CsBzHHg0Hrc1P/beVerWBGdBnNyN6TTxq+sp9MaUgtbWYcFziU8xMUoAK1+w4dMz9vwtID/TnsNN81nNKWTURzxB4aM09YZHfbSPS/9KjykqXbaQMJ8/Uhu/4tdSoviE2Akon9MzMNg+AyFmmSzbMYkASQ8+iuV/INrv9v8JESKovoh7FGJLbQ2ef9D2Pej5UlhCgS7EjzkFTiFIN+2mLMyKxqfKnhV7d+echa/4WPwakNLi1jxfhDJHcQYD/hUzXsDW6VVx1/qr58RvnqbIjl8thmzu+d/l8g5bZgnbBKOggY4fyDJy3Q3/gA==,,7,9,2023-11-27 19:26:50,2023-11-27 19:27:08,1,1
28,O-78F6D09FC5734B84B6D09FC5732B84D7,47470615,88820239041350002,19.02.2022 14:18:31,19.02.2022 14:18:31,,2023904135,SK7020000350,,1D6962C9-179E3940-411F904E-FE42C3AA-33C8F636,b'\x00',,2725,PD,0.0,10.0,11.0,0.0,0.0,1.0,20.0,10.0,b'\x00',2/A,Slovensko,2023904135,SK7020000350,47470615,Bratislava - mestská časť Rača,"BENU SK 43, s. r. o.",,,Pribylinská,b'\x01',1,88820239041350002,Slovensko,Bratislava,84101,3580,Harmincova,,STANDARD,tQXVe8r1rHFsEXDRFkX19s+vzyg1CsBzHHg0Hrc1P/beVerWBGdBnNyN6TTxq+sp9MaUgtbWYcFziU8xMUoAK1+w4dMz9vwtID/TnsNN81nNKWTURzxB4aM09YZHfbSPS/9KjykqXbaQMJ8/Uhu/4tdSoviE2Akon9MzMNg+AyFmmSzbMYkASQ8+iuV/INrv9v8JESKovoh7FGJLbQ2ef9D2Pej5UlhCgS7EjzkFTiFIN+2mLMyKxqfKnhV7d+echa/4WPwakNLi1jxfhDJHcQYD/hUzXsDW6VVx1/qr58RvnqbIjl8thmzu+d/l8g5bZgnbBKOggY4fyDJy3Q3/gA==,,7,9,2023-11-27 19:28:57,2023-11-27 19:28:57,1,1
